# unfoldingWord/en_ult 24-JER.usfm @ 127cc1f3696994d967fc25fdd28a3a55d111132e
# Fixes s5 markers — Richard Mahn, fetched from git.door43.org 2026-08-24
# Every line below is REAL: the line number and the real line text up to the
# end of its last \c / \v marker. Nothing else in the file affects the
# hunk -> verse mapping, so the test rebuilds a stand-in file of exactly
# 43152 lines with these markers at these line numbers.
lines	43152
8184	\c 11
8186	\v 1
8195	\v 2
8219	\v 3
8241	\v 4
8297	\v 5
8334	\v 6
8363	\v 7
8393	\v 8
8440	\v 9
8460	\v 10
8506	\v 11
8540	\v 12
8576	\v 13
8610	\v 14
8649	\q1 \v 15
8681	\q1 \v 16
8714	\v 17
8755	\v 18
8769	\v 19
8819	\q1 \v 20
8850	\v 21
8879	\v 22
8906	\v 23
8931	\c 12
8932	\q1 \v 1
8967	\q1 \v 2
8996	\v 3
9027	\q1 \v 4
9067	\q1 \v 5
9104	\q1 \v 6
9138	\q1 \v 7
9162	\q1 \v 8
9185	\q1 \v 9
9219	\q1 \v 10
9241	\q1 \v 11
9267	\q1 \v 12
9304	\q1 \v 13
9336	\v 14
9379	\v 15
9413	\v 16
9456	\v 17
9479	\c 13
9481	\v 1
9506	\v 2
9524	\v 3
9536	\v 4
9561	\v 5
9577	\v 6
9607	\v 7
9642	\v 8
9651	\v 9
9667	\v 10
9715	\v 11
9769	\v 12
9808	\v 13
9850	\v 14
9891	\q1 \v 15
9903	\q1 \v 16
9943	\q1 \v 17
9980	\q1 \v 18
10004	\q1 \v 19
10031	\q1 \v 20
10053	\q1 \v 21
10086	\q1 \v 22
10114	\q1 \v 23
10139	\q1 \v 24
10156	\q1 \v 25
10179	\q1 \v 26
10196	\q1 \v 27
10230	\c 14
10232	\v 1
10243	\q1 \v 2
10261	\q1 \v 3
10297	\q1 \v 4
10318	\q1 \v 5
10334	\q1 \v 6
10358	\q2 \v 7
10383	\q2 \v 8
10414	\q2 \v 9
10452	\q1 \v 10
10486	\v 11
10498	\v 12
10541	\v 13
10575	\v 14
10628	\v 15
10669	\v 16
10725	\q1 \v 17
10766	\q1 \v 18
10808	\q1 \v 19
10850	\q1 \v 20
10868	\q1 \v 21
10894	\q1 \v 22
10934	\c 15
10936	\v 1
10966	\v 2
11018	\v 3
11055	\v 4
11085	\q1 \v 5
11109	\q1 \v 6
11136	\q1 \v 7
11171	\q1 \v 8
11214	\q1 \v 9
11266	\q1 \v 10
11304	\q1 \v 11
11332	\q1 \v 12
11344	\q1 \v 13
11366	\q1 \v 14
11398	\q1 \v 15
11436	\q1 \v 16
11471	\q1 \v 17
11501	\q1 \v 18
11528	\q1 \v 19
11578	\q1 \v 20
11618	\q1 \v 21
11642	\c 16
11644	\v 1
11653	\v 2
11674	\v 3
11708	\v 4
11769	\v 5
11804	\v 6
11841	\v 7
11879	\v 8
11898	\v 9
11945	\v 10
11989	\v 11
12035	\v 12
12065	\v 13
12109	\v 14
12139	\v 15
12187	\v 16
12234	\v 17
12258	\v 18
12294	\q1 \v 19
12336	\q1 \v 20
12347	\q1 \v 21
12378	\c 17
12379	\q1 \v 1
12411	\q1 \v 2
12430	\q1 \v 3
12455	\q1 \v 4
12501	\q1 \v 5
12523	\q1 \v 6
12560	\q1 \v 7
12573	\q1 \v 8
12627	\q1 \v 9
12640	\q1 \v 10
12665	\q1 \v 11
12704	\q1 \v 12
12717	\q1 \v 13
12753	\q1 \v 14
12774	\q1 \v 15
12788	\q1 \v 16
12822	\q1 \v 17
12837	\q1 \v 18
12882	\v 19
12919	\v 20
12953	\v 21
12980	\v 22
13019	\v 23
13042	\v 24
13087	\v 25
13132	\v 26
13184	\v 27
13244	\c 18
13246	\v 1
13255	\v 2
13275	\v 3
13296	\v 4
13335	\v 5
13344	\v 6
13378	\v 7
13400	\v 8
13427	\v 9
13445	\v 10
13476	\v 11
13523	\v 12
13551	\v 13
13574	\q1 \v 14
13592	\q1 \v 15
13626	\q1 \v 16
13648	\q1 \v 17
13682	\v 18
13732	\q1 \v 19
13745	\q1 \v 20
13780	\q1 \v 21
13826	\q1 \v 22
13860	\q1 \v 23
13908	\c 19
13910	\v 1
13937	\v 2
13967	\v 3
14006	\v 4
14053	\v 5
14094	\v 6
14124	\v 7
14184	\v 8
14209	\v 9
14260	\v 10
14277	\v 11
14326	\v 12
14346	\v 13
14399	\v 14
14429	\v 15
14471	\c 20
14473	\v 1
14491	\v 2
14517	\v 3
14548	\v 4
14612	\v 5
14662	\v 6
14705	\q1 \v 7
14731	\q1 \v 8
14763	\q1 \v 9
14806	\q1 \v 10
14852	\q1 \v 11
14886	\q1 \v 12
14917	\q1 \v 13
14937	\q1 \v 14
14958	\q1 \v 15
14983	\q1 \v 16
15015	\q1 \v 17
15040	\q1 \v 18
15064	\c 21
15066	\v 1
15092	\v 2
15128	\v 3
15138	\v 4
15191	\v 5
15217	\v 6
15237	\v 7
15325	\v 8
15350	\v 9
15395	\v 10
15433	\v 11
15446	\q1 \v 12
15496	\q1 \v 13
15527	\q1 \v 14
15560	\c 22
15562	\v 1
15579	\v 2
15611	\v 3
15656	\v 4
15693	\v 5
15717	\v 6
15748	\q1 \v 7
15778	\v 8
15806	\v 9
15834	\v 10
15868	\v 11
15902	\v 12
15922	\q1 \v 13
15951	\q1 \v 14
15986	\v 15
